timestamp,cpu_usage,memory_usage,load_capacity,error_rate,throughput,is_holiday
2023-02-01 00:00:00,24.75,86.58,0.51,2.93,661,0
2023-02-01 01:00:00,64.34,78.64,0.88,4.47,1012,0
2023-02-01 02:00:00,29.0,63.37,0.39,1.73,244,0
2023-02-01 03:00:00,32.05,62.01,0.98,4.23,1808,0
2023-02-01 04:00:00,47.15,32.4,0.76,0.0,646,0
2023-02-01 05:00:00,38.56,71.61,0.25,1.49,1337,0
2023-02-01 06:00:00,35.41,50.61,0.45,0.73,1184,0
2023-02-01 07:00:00,24.91,51.08,0.52,3.88,415,0
2023-02-01 08:00:00,31.7,35.95,0.62,1.37,1541,0
2023-02-01 09:00:00,67.72,47.99,0.17,0.08,1517,0
2023-02-01 10:00:00,52.15,37.01,0.58,4.19,1420,0
2023-02-01 11:00:00,58.69,53.34,0.63,2.9,1399,0
2023-02-01 12:00:00,31.53,34.41,0.78,3.5,1054,0
2023-02-01 13:00:00,37.42,46.25,0.28,3.13,1321,0
2023-02-01 14:00:00,42.25,62.5,0.6,3.92,755,0
2023-02-01 15:00:00,71.79,58.27,0.29,2.35,620,0
2023-02-01 16:00:00,78.8,84.46,0.6,1.38,142,0
2023-02-01 17:00:00,58.11,54.75,0.5,2.94,1578,0
2023-02-01 18:00:00,51.17,71.68,0.3,0.26,890,0
2023-02-01 19:00:00,83.85,54.67,0.38,2.43,1590,0
2023-02-01 20:00:00,44.17,58.26,0.2,4.08,1617,0
2023-02-01 21:00:00,48.79,73.32,0.24,3.9,844,0
2023-02-01 22:00:00,86.73,53.98,0.9,0.75,1467,0
2023-02-01 23:00:00,29.07,33.6,0.85,2.02,705,0
2023-02-02 00:00:00,47.72,47.02,0.29,2.92,1570,0
2023-02-02 01:00:00,39.54,67.38,0.54,4.22,1871,0
2023-02-02 02:00:00,72.84,65.96,0.83,3.24,1751,0
2023-02-02 03:00:00,62.75,42.37,0.97,2.01,1120,0
2023-02-02 04:00:00,63.68,72.52,0.83,3.52,808,0
2023-02-02 05:00:00,60.74,50.36,0.4,2.8,1166,0
2023-02-02 06:00:00,85.45,30.59,0.61,2.59,1704,0
2023-02-02 07:00:00,80.16,63.45,0.17,1.85,478,0
2023-02-02 08:00:00,83.73,31.69,0.88,0.83,774,0
2023-02-02 09:00:00,57.93,56.8,0.58,0.68,278,0
2023-02-02 10:00:00,43.22,73.35,0.35,3.44,626,0
2023-02-02 11:00:00,54.7,69.56,0.84,2.07,617,0
2023-02-02 12:00:00,77.98,36.6,0.87,0.92,446,0
2023-02-02 13:00:00,74.82,59.39,0.98,3.76,739,0
2023-02-02 14:00:00,44.45,40.25,0.12,4.9,1907,0
2023-02-02 15:00:00,86.74,84.14,0.13,2.03,1790,0
2023-02-02 16:00:00,34.36,50.48,0.97,3.31,1881,0
